FILER_ID,FILER_NAME
10273,Committee To Elect Judge Gerard H. Rosenberg As Supreme Court Justice
10274,Kinsolving For The Assembly
10275,Committee To Elect Luke M. Charde Jr.
10276,Friends Of Brian Simon
10277,Friends Of Tina Bennet
10278,Committee To Elect Greg Cholakis
10279,Friends Of Vincent Esposito
1028,Diallo For The Bronx
10280,Friends Of Brad Ward
10281,Action Fund Of Lehman Brothers Inc. - New York
10282,The Committee For A Strong Economy
10283,Friends Of Yvonne Lewis
10284,Friends Of Oliver Koppell
10285,Physicians Fund
10286,Dem For The 90S
10287,Comm. To Re-Elect Judge Elizabeth W. Pine
10288,Eber For Asbly
10289,Dem WomenS Comm
1029,Friends Of Kari Ratliff
10290,Friends Of Anita Maxwell
10291,Comm To Elect David R. Townsend Jr. Asbly
10292,Friends Of Jim Conte
10293,Friends Of Jo Meleca-Voigt
10294,Kearns For Buffalo
10295,Friends Of Lou Desso
10296,Committee To Elect Tulani Kinard
10297,Citizens For Ralph Jones
10298,Friends Of Ted Casey
10299,Friends Of Yvon Alexis
103,Malverne Republican Committee
1030,Team Rahim
10300,Judge Tim Franczyk For County Court
10301,Friends Of Sue Davis
10302,Friends Of Jim Griffin
10303,James M. Vallone For Cheektowaga Town Justice
10304,Schuyler Falls Republican Committee
10305,Friends Of John Black
10306,Progressive Malone
10307,Town Of Wawayanda Republican Committee
10308,Judge Farber For Family Court
10309,Friends Of Eve Campaign Committee
1031,Friends Of Nematzadeh And Torkan
10310,Senator Marty Markowitz Committee
10311,Friends To Re-Elect Sen Bernstein
10312,Impac 2000
10313,Committee To Elect Penny Olsen
10314,Friends Of Nicole Paultre Bell
10315,Friends Of Sue Mangold
10316,Sand Lake Republican Committee
10317,Committee To Elect Anthony Rattoballi
10318,Southeast Taxpayers For A Better Library
10319,Committee To Elect Matt Hoose
1032,Hells Kitchen Democrats
10320,Committee To Re-Elect Judge Herrick
10321,Committee To Re-Elect Judge Philip V. Cortese
10322,Marisol 2013
10323,Friends Of Richard J. Montelione
10324,Committee To Elect Donna England
10325,Nbt/Pac - State Fund
10326,Chase Lincoln First Bank N.A. State Pac
10327,Tom Marcelle For Supreme Court
10328,Committee To Elect Esther M. Morgenstern For Supreme Court Justice
10329,Stop The Spending Pac
1033,Sam For City Council
10330,Friends Of Judge Debra James - 2013
10331,Friends Of Victor Pichardo
10332,Marshall For Justice Campaign Committee
10333,Friends Of Debbie Medina
10334,New York State Federation Of Democratic Women (Nysfdw)
10335,Committee To Elect Judge James Catterson
10336,Ulrich For Senate
10337,Friends Of William Mccarthy
10338,Friends Of David R. Hooks Jr (Friends Of Drh)
10339,Friends To Elect Randall A. Johnson Ii
1034,Committee To Elect Bryan Bollman
10340,Elect Eric Warner For Coroner
10341,Friends Of Ira Barocas
10342,Committee To Elect Cunningham
10343,Friends Of Joe Susino
10344,Committee To Elect Douglas Solomon
10345,Committee To Elect Sherm Hamel
10346,Elect Ed Easter Committee
10347,Chris For Clerk
10348,Committee To Re-Elect Judge Morinello
10349,Herbert For State Assembly
1035,Friends Of Carmen Rau
10350,Erie County SheriffS Pba - Pac
10351,The Idc Initiative (Independent Democratic Conference)
10352,Friends Of Cecile Forte
10353,Baker For District Attorney
10354,Friends Of Anthony Musumeci
10355,Vallone For New York
10356,Committee To Elect Suzanne Montalalou
10357,John Scott For District Leader
10358,Friends Of Joe Susino
10359,Friends Of Victoria Gearity
1036,Friends Of Chris Mullin
10360,Committee To Elect G. Lyles
10361,Friends Of Ed Hartzog
10362,Friends Of Ed Smyth
10363,Friends Of Mary G. Carney
10364,Friends Of Judge Anna Anzalone
10365,Elec-Pac
10366,Citizens For Quality Judges
10367,Nadia For Legislator
10368,Friends Of N.C. Caller
10369,Friends Of Diana Quast
1037,Friends Of Luke Wochensky
10370,Friends Of Debby Mccormick
10371,Committee To Elect Steve Schabot
10372,Southern Brooklyn Democrats
10373,A Different Approach
10374,Saundra Thomas 2013
10375,Friends Of Judd Krasher
10376,Town Of Groton Republican Committee
10377,Friends Of Michael Drmacich
10378,Friends Of Bob Giordano
10379,Stuf For 12 Ld
1038,Charles Fall For Ny
10380,Committee To Elect David Boniello
10381,Committee To Elect Giardino Fulton County Sheriff
10382,Friends Of Denise Lucas
10383,Lakewood-Busti Democratic Committee
10384,Friends Of Alana Sparrow Matulis
10385,Friends Of Bridget Fleming
10386,Tom Faggione For Legislature
10387,Committee To Elect Kevin Muldowney
10388,Kings County Republican Party County Committee
10389,Friends Of Stacey Romeo
1039,Doctor Jeff Ascherman For Assembly
10390,Scott Moore For Judge
10391,Eric Ulrich 2017
10392,Democratic Political Behavior
10393,Casey For Albany
10394,Dean For Westchester
10395,Malcolm Clark For City Council
10396,Braine For Cornwall
10397,Friends Of Marty Chalk
10398,Friends Of Kim Myers
10399,Friends Of Catherine Parker
104,Friends Of Gil Ethier
1040,Friends To Elect Jimmy Bruno 2017
10400,Friends Of Jim Walsh For Family Court Judge
10401,Friends Of Peter Rouff
10402,Friends Of Michael Maloney
10403,Friends Of Scherie Murray
10404,Jim Owles Liberal Democratic Club
10405,Committee To Elect Audrey Dunning
10406,Friends Of Rick Milne For State Assembly
10407,Fighting For Children
10408,Delmonte For Supreme Court 2016
10409,Re-Elect Justice Ling-Cohan
1041,Westbrook For Supervisor
10410,Ny PeopleS Convention
10411,Turner For Town Board
10412,Friends Of Chauncey W. Stewart
10413,Committee To Elect Joe Perrello
10414,Friends Of Frank Mauriello
10415,Friends Of Oscar Peterson
10416,Friends Of Milagros Vicente
10417,Committee To Elect Matthew Nelson
10418,Committee To Elect Anthony Sarno (Cteas)
10419,Committee To Elect Judge Martinelli
1042,Friends Of David Reynolds
10420,Nasta For North Hempstead Supervisor
10421,Committee To Elect Patty Waldron
10422,Committee To Elect Kevin Weldon
10423,Friends Of Brett Granville
10424,Committee To Elect Judge Michael V. Caruso
10425,Yeger For Rockland
10426,Committee To Re-Elect The Hon. James F. Quinn
10427,Friends Of Tara Langworthy
10428,Carlina 2021
10429,Lawson For West Seneca
1043,Rorys Committee
10430,Piccirillo For Niagara Falls
10431,Mel 2017
10432,Friends Of S. London Reyes
10433,Friends Of Daren Tolz
10434,Friends Of Fran Flanagan
10435,Friends Of Abinanti For Assembly
10436,Committee To Elect Judge Julie Campbell Supreme Court Judge
10437,Stocker For Assembly
10438,Judge Mcmahon For Supreme Court
10439,Friends Of Judge Christopher Quinn
1044,Friends Of Jackie Sisson Sherry For Judge
10440,Friends Of Kim Smith
10441,United For Marte
10442,Committee To Elect Raphael Mariani
10443,Patch For Tonawanda
10444,Shahana From Brooklyn
10445,Degiorgio For Mayor
10446,Friends Of Ali Petrillo
10447,Westerlo Democratic Committee
10448,Friends Of Wendy Mccarthy
10449,Friends Of Devin
1045,Friends Of Willie Rosas
10450,Friends Of Julie Mitchell
10451,Friends Of Jeffrey Kuhn
10452,Kathy For Cohoes
10453,Keith Wofford For Attorney General
10454,The Friends Of Kevin Sabella
10455,Committee To Elect Michael Linehan
10456,Friends Of Judge Lisa Bloch Rodwin
10457,Rosenberg For Wilton Town Justice
10458,Costa 2021
10459,Friends Of Nick Grasso
1046,Ilana Marcus For Civil Court
10460,Friends Of Joseph Ruggiero
10461,Mark Kolinski For A Brighter Future
10462,Friends Of Melanie Mcmahan
10463,Friends Of Maria Patrizio
10464,Stephentown Democratic Committee (Sdc)
10465,Committee To Elect Jose-Decker As Sullivan County Court Judge
10466,Silva For Council
10467,Julia For Queens
10468,Friends Of Evie Hantzopoulos
10469,Dawn For Queens
1047,Jay For Suffolk
10470,Friends Of Felicia For Judge
10471,Lance Evans For Supreme Court
10472,NYIC Political Action Fund
10473,Friends For Hiram
10474,Committee To Elect F. Castellanos
10475,Citizens Pac
10476,New American Leadership Pac
10477,Friends Of Norbert Higgins
10478,Tahanie For New York
10479,Friends Of Bob Ockenden
1048,Caroline Cohen For Civil Court Judge
10480,Friends Of Rick Lauricella
10481,Doyle For New York
10482,The Real One Saratoga
10483,Friends Of Carolyn Hoffman
10484,Democratic Attorneys General Association - New York (Daga - New York)
10485,Friends Of Bill Reed
10486,Welfair
10487,Friends Of Victor Trimmer
10488,Opeiu Local 153 Vote Voice Of The Electorate
10489,Hackpac: Taxi Industry Pac
1049,Committee To Elect Joann Lawson
10490,Citizens For Hannon
10491,Friends Of Robert Nelson
10492,Committee To Re-Elect Assemblywoman Aurelia Greene
10493,Committee To Elect Cory Provost
10494,Committee To Elect Michele Bermel
10495,Friends Of Richard J. Ahrens Jr.
10496,Committee To Elect Kevin M. Dillon Nys Supreme Court Justice
10497,Friends Of Steve Schiavi
10498,Committee To Elect Sal Calise
10499,F.A.I.R. (Families Against Irresponsible Regulation) [Ken Gaul]
105,Kraft Campaign Committee
1050,Friends Of Thomas Pallo
10500,Binghamton City Democratic Committee
10501,Stewart Manor-New Hyde Park Republican Committee
10502,Committee To Elect Andrew M. Engel
10503,Hispanic Voting Alliance
10504,Friends Of Deborah Yeomans
10505,Town Of Black Brook Democrat Party
10506,Friends Of Scott Bylewski
10507,Friends Of Carl L. Marcellino
10508,Friends Of Schneiderman
10509,Friends Of Judge Tormey
1051,Rick Rector For Mayor
10510,Comm To Elect Arnold B. Firestone Justice
10511,Friends Of Jay Nish
10512,Committee To Elect William R. Joyce For State Assembly
10513,Abepac
10514,Philipstown Democratic Club
10515,Citizens For Brian Foley
10516,East Hampton Town Democratic Committee
10517,Committee To Re-Elect Robert Bob Aiello
10518,Otis/Mt. Hope Democratic Comm.
10519,Friends Of Andy Spano
1052,Justin 2021
10520,Saratogians United To Continue The Charter Essential To Sustain Our Success (Suc
10521,Mechanicville Republican Committee
10522,Hyde Park Republican Committee
10523,Democratic Club Of Stillwater
10524,Friends Of Van Robinson
10525,Committee To Elect James Cecile
10526,Friends Of Bob Carney
10527,Sweden Democratic Committee
10528,The Committee To Keep Judge Jacobellis
10529,Friends Of Rosemarie Panio
1053,Lena Melendez For City Council
10530,Jam Pac
10531,Friends Of Lazzari
10532,Committee To Elect Daniel Sturm
10533,Safe - Pac (Schools Are For Everyone Political Action Committee)
10534,People For Jackson
10535,Moore For Senator
10536,David Cohen For Supreme Court 2020
10537,Maria L. Bonilla Democratic Club
10538,Friends Of Eryn Foster
10539,Judge Spodek For Supreme Court
1054,New Day Democrats Of Dutchess County
10540,Mark Weprin For New York
10541,Delano For Senate
10542,Friends Of David Zagon
10543,Friends Of Toni L. Vazquez
10544,Citizens For Crisafulli
10545,Tallackson For Justice Committee
10546,Friends Of Dennis Pitcock
10547,Friends Of Harvey J. Burger
10548,Committee To Elect Mary Ann Balland
10549,Friends Of Flora Mckenzie
1055,Patrick For District 39
10550,Ovid Town Republican Committee
10551,Friends Of Todd Dobrin
10552,Friends Of Wendy Whetsel
10553,Taghkanic Council Election 2007
10554,Friends Of Chuck Nazzaro
10555,Friends Of Fred J. Castiglia
10556,Friends Of Richard St. Paul Inc.
10557,Friends Of David Barker
10558,Friends For Joseph Zavaglia
10559,Friends Of Mildred S. Wheeler
1056,Eric Schumacher For Civil Court 2020
10560,Bringing North Greenbush Together
10561,Albany City Democratic Committee
10562,Committee To Elect Thomas J. ONeill
10563,Friends Of Emily Dominguez
10564,Committee To Elect Joanne L. Sullivan
10565,Greenburgh Speaks
10566,Friends Of Bob Olson
10567,Friends Of Yitzy Ullman
10568,Friends Of Kenny Roman
10569,Citizens For Schaeffer
1057,Elect Paul Trachte
